Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,4.7uF,
"C2, C4, C5",0805,3,0.1uF,
"C3, C6, C7",0805,3,1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,17,1N4148W,
F1,1206,1,1A,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_IN,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_OUT,
"KEY1, KEY10, KEY11, KEY12, KEY13, KEY14, KEY15, KEY16, KEY17, KEY2, KEY3, KEY4, KEY5, KEY6, KEY7, KEY8, KEY9",SW_choc_v1_HS_CPG135001S30_1u,17,Choc-Keyswitch,
R1,0805,1,10k,
"R2, R3",0805,2,5.1k,
SW1,SW_SPST_TS-1088-xR020,1,SW_Push,
SW2,SW_SPDT_PCM12,1,SW_SPDT,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G0B1CBTx,
"U2, U4",SOT-23-6,2,SRV05-4,
U3,SOT-23-3,1,XC6206P332MR,
