Designator,Mid X,Mid Y,Rotation,Layer
C1,103.9,-107.8,180.0,bottom
C2,103.9,-105.8,180.0,bottom
C3,103.9,-112.8125,180.0,bottom
C4,103.9,-110.5625,180.0,bottom
C5,72.3,-112.6,0.0,bottom
C6,52.9625,-59.9,180.0,bottom
C7,53.3,-65.4625,90.0,bottom
D1,136.39,-58.94,270.0,bottom
D10,60.55,-87.49,270.0,bottom
D11,136.29,-96.92,270.0,bottom
D12,117.2,-94.1,270.0,bottom
D13,97.97,-89.2625,270.0,bottom
D14,79.21,-94.14,270.0,bottom
D15,60.46,-106.6925,270.0,bottom
D16,141.59,-122.4625,270.0,bottom
D17,139.15,-122.5425,270.0,bottom
D2,117.34,-55.9225,270.0,bottom
D3,98.21,-51.4425,270.0,bottom
D4,79.32,-56.0525,270.0,bottom
D5,61.3,-75.8,0.0,bottom
D6,136.22,-78.05,270.0,bottom
D7,117.36,-75.0025,270.0,bottom
D8,98.33,-70.3225,270.0,bottom
D9,80.1,-75.1,270.0,bottom
F1,61.1,-61.2,0.0,bottom
J1,60.279999,-60.079999,180.0,top
J2,145.22,-113.8925,90.0,top
KEY1,133.16875,-63.3845,0.0,bottom
KEY10,57.16875,-92.15,0.0,bottom
KEY11,133.16875,-101.4845,0.0,bottom
KEY12,114.16875,-98.627,0.0,bottom
KEY13,95.16875,-93.8645,0.0,bottom
KEY14,76.16875,-98.627,0.0,bottom
KEY15,57.16875,-111.2,0.0,bottom
KEY16,150.134057,-129.535849,25.0,bottom
KEY17,129.749741,-123.108699,10.0,bottom
KEY2,114.16875,-60.527,0.0,bottom
KEY3,95.16875,-55.7645,0.0,bottom
KEY4,76.16875,-60.527,0.0,bottom
KEY5,57.16875,-73.1,0.0,bottom
KEY6,133.16875,-82.4345,0.0,bottom
KEY7,114.16875,-79.577,0.0,bottom
KEY8,95.16875,-74.8145,0.0,bottom
KEY9,76.16875,-79.577,0.0,bottom
R1,82.0,-111.2,180.0,top
R2,63.70625,-69.1,180.0,bottom
R3,63.7,-71.0,180.0,bottom
SW1,71.1125,-115.775,180.0,top
SW2,80.15,-115.625,0.0,top
U1,92.9,-112.3,225.0,bottom
U2,127.72,-111.7375,270.0,bottom
U3,50.2,-63.3,270.0,bottom
U4,50.2625,-68.6,180.0,bottom
