Designator,Mid X,Mid Y,Rotation,Layer
C1,132.7625,-118.2,180.0,bottom
C2,132.7625,-116.2,180.0,bottom
C3,132.8375,-113.4,180.0,bottom
C4,132.8375,-111.2,180.0,bottom
C5,150.3,-118.3,180.0,bottom
C6,89.378459,-126.838811,180.0,bottom
C7,93.390959,-123.707561,90.0,bottom
D1,92.7,-64.7,270.0,bottom
D10,168.3,-93.5,270.0,bottom
D11,92.6,-102.9,270.0,bottom
D12,111.6,-99.9,270.0,bottom
D13,130.5,-95.3,270.0,bottom
D14,149.5,-99.8,270.0,bottom
D15,168.5,-112.6,270.0,bottom
D16,79.909709,-134.376311,270.0,bottom
D17,95.928459,-129.948311,270.0,bottom
D18,84.4,-126.0,90.0,bottom
D2,111.6,-61.9,270.0,bottom
D3,130.5,-57.2,270.0,bottom
D4,149.5,-61.85,270.0,bottom
D5,154.5,-74.9,270.0,bottom
D6,92.6,-83.7,270.0,bottom
D7,111.4,-80.9,270.0,bottom
D8,130.6,-76.2,270.0,bottom
D9,149.5,-80.9,270.0,bottom
F2,79.8,-125.7,180.0,bottom
J2,76.949709,-118.613811,270.0,top
KEY1,89.340959,-69.298311,0.0,bottom
KEY10,165.340959,-98.063811,0.0,bottom
KEY11,89.340959,-107.398311,0.0,bottom
KEY12,108.340959,-104.540811,0.0,bottom
KEY13,127.340959,-99.778311,0.0,bottom
KEY14,146.340959,-104.540811,0.0,bottom
KEY15,165.340959,-117.113811,0.0,bottom
KEY16,72.375652,-135.44966,335.0,bottom
KEY17,92.759968,-129.02251,350.0,bottom
KEY2,108.340959,-66.440811,0.0,bottom
KEY3,127.340959,-61.678311,0.0,bottom
KEY4,146.340959,-66.440811,0.0,bottom
KEY5,165.340959,-79.013811,0.0,bottom
KEY6,89.340959,-88.348311,0.0,bottom
KEY7,108.340959,-85.490811,0.0,bottom
KEY8,127.340959,-80.728311,0.0,bottom
KEY9,146.340959,-85.490811,0.0,bottom
R1,140.5,-117.8,0.0,top
R2,76.6,-119.8,0.0,bottom
R3,76.6,-117.3,0.0,bottom
SW1,151.5,-121.4,0.0,top
SW2,142.3,-121.625,0.0,top
U1,122.709709,-117.8,225.0,bottom
U2,96.6,-118.4,90.0,bottom
U3,89.172209,-123.663811,180.0,bottom
U4,109.9,-122.3,90.0,bottom
